time,evt_type,go,brake_rt,sec_rt,sdlp1,sdlp2,segnum,pathnum,on_exit
13.99900,3,1,1.86800,0.97800,0.06200,0.03000,12,0,False
20.96600,3,1,1.27600,1.19800,0.04100,0.01200,12,0,False
27.27800,2,0,nan,nan,0.04800,0.05900,2,0,False
34.59400,2,0,nan,nan,0.04600,0.07300,3,16,False
42.30600,1,0,0.62200,nan,0.01000,0.20900,7,16,False
48.71900,3,0,nan,nan,0.09900,0.06500,7,16,False
55.13100,2,0,nan,nan,0.05000,0.00700,14,16,False
62.44300,3,0,1.28800,nan,0.03500,0.02200,14,16,False
69.35800,3,0,1.55700,nan,0.10800,0.04700,21,16,False
75.47200,2,0,nan,nan,0.03300,0.02200,20,16,False
81.58800,3,0,nan,nan,0.05400,0.01000,19,20,False
87.69900,1,0,0.68300,nan,0.00700,0.01900,19,20,False
94.31100,3,0,1.36000,nan,0.24800,0.02500,19,20,False
100.42300,3,0,nan,nan,0.14300,0.02100,93,20,False
107.53800,2,1,nan,nan,0.03700,0.03600,93,20,False
114.25200,3,1,1.36000,1.61400,0.07400,0.14600,96,20,False
120.56700,2,0,nan,nan,0.02700,0.05800,25,20,False
128.28300,3,1,1.27600,1.33900,0.01500,0.06300,37,20,False
135.59700,1,0,0.95800,nan,0.01300,0.06900,37,20,False
142.71000,2,1,nan,1.70200,0.04500,0.02600,37,20,False
149.62500,1,0,1.20600,nan,0.06100,0.01300,37,20,False
157.34000,2,0,nan,nan,0.02300,0.02100,27,20,False
165.25300,1,0,0.76300,nan,0.03000,0.01200,28,22,False
172.96700,2,1,nan,1.07400,0.02800,0.08300,32,22,False
180.48200,3,1,1.08600,1.08600,0.02000,0.02700,32,22,False
187.29600,1,0,0.92400,nan,0.01800,0.02100,39,22,False
193.90800,3,0,1.32100,nan,0.15200,0.12500,39,22,False
200.62100,1,0,nan,nan,0.06800,0.03700,45,22,False
206.83300,2,0,nan,nan,0.02400,0.04800,44,26,False
214.34600,3,0,1.35000,nan,0.06800,0.07400,44,26,False
221.96000,3,1,1.11800,1.11800,0.04100,0.11600,94,26,False
229.77500,1,0,0.94100,nan,0.03900,0.05000,94,26,False
236.18900,1,0,0.76100,nan,0.01300,0.01200,97,26,False
243.20300,3,1,1.10300,1.07100,0.01200,0.00600,50,26,False
250.41600,3,1,1.16700,1.18300,0.05000,0.07200,62,26,False
257.22700,2,1,nan,1.65200,0.01200,0.01300,62,26,False
264.54300,2,0,nan,nan,0.10600,0.09600,62,26,False
271.45400,3,0,1.29000,nan,0.08400,0.03600,62,26,False
278.97000,3,0,1.36100,nan,0.02000,0.03200,52,26,False
286.68600,3,1,1.00100,1.03300,0.01300,0.03300,53,28,False
293.20000,2,1,nan,1.34900,0.04300,0.02200,57,28,False
299.81300,1,0,0.79600,nan,0.07900,0.04000,57,28,False
307.32500,1,0,0.84200,nan,0.01200,0.04000,64,28,False
314.54000,3,0,1.09800,nan,0.08000,0.01100,64,28,False
321.75500,1,0,0.78300,nan,0.02500,0.01300,71,28,False
327.76900,3,1,0.98600,0.95400,0.01300,0.00800,70,28,False
335.28400,2,0,nan,nan,0.08000,0.02200,69,32,False
341.99400,2,1,nan,1.05200,0.03300,0.04200,69,32,False
348.11000,2,0,nan,nan,0.02700,0.16300,95,32,False
356.02500,2,0,nan,nan,0.15300,0.06000,95,32,False
363.23800,2,1,nan,1.17700,0.04100,0.00800,98,32,False
370.65300,3,1,0.99200,0.97600,0.01600,0.08600,75,32,False
376.86900,2,0,nan,nan,0.11600,0.07400,113,4,False
383.28100,3,0,1.26100,nan,0.03200,0.02500,114,4,False
389.99400,2,0,nan,nan,0.11800,0.16000,115,4,False
396.10500,3,1,0.81100,0.89100,0.12600,0.02800,115,4,False
403.52000,1,0,1.63000,nan,0.11800,0.16600,116,4,False
411.13400,1,0,1.04600,nan,0.01900,0.03700,117,4,False
417.84700,3,0,1.18300,nan,0.05000,0.02100,118,4,False
425.56100,2,0,nan,nan,0.14600,0.01900,119,4,False
433.27400,2,0,nan,nan,0.02900,0.04600,128,4,False
