Matricola,Es1(max2.5),Es2(max3),Es3(max3),Votofinale(max8.5)
VR471358,0,0,0,0
VR485951,1.25,0.9,1.2,3.5
VR487644,0,0,0,0
VR485713,2.5,3,3,8.5
vr491328,0,0,0,0
VR485956,0,0,0,0
VR471491,0,0,0,0
VR421930,0,0,0,0
VR486399,1.75,2.1,1.2,5.5
VR485844,0,0.6,0.9,1.5
VR485743,2.25,3,3,8.5
VR486135,2,2.4,1.5,6
VR487733,1.75,1.8,2.7,6.5
VR488066,0,0,0,0
VR471516,0,0,0,0
VR487635,0.5,3,1.5,5
VR486679,2.25,3,1.2,6.5
VR490461,0.75,1.2,0.9,3
VR492099,1.75,2.7,1.2,6
VR485854,0.75,3,3,7
VR471276,0,0.9,0.3,1.5
VR486070,2,0.6,1.2,4
VR485984,0,0,0,0
VR487716,2,1.8,2.7,6.5
VR487434,2.25,3,3,8.5
VR489215,0.5,2.4,3,6
VR485945,2,3,2.4,7.5
VR486432,0,2.4,,2.5
VR486921,1.25,1.5,1.5,4.5
vr492127,0,0,0,0
VR487324,0,0,0,0
VR487810,0,0,0,0
VR487525,2.25,3,2.4,8
VR488633,2.5,2.7,2.7,8
VR485869,0.5,3,0,3.5
VR489253,0,0,0,0
VR485994,0,0,0,0
VR486827,0,0,0,0
Vr486655,0,0,0,0
VR486066,1.5,1.2,1.2,4
VR485745,0,0,0,0
VR494852,0,0,0,0
VR488147,0.75,2.4,1.5,5
VR486967,1,0.9,0,2
VR422579,0,0,0,0
VR490631,0,0,0,0
VR486372,1.75,0.9,1.8,4.5
VR486911,1.25,2.7,1.5,5.5
VR493766,1.25,2.7,2.7,7
VR486259,2.5,3,2.7,8.5
VR486338,1.25,3,1.5,6
VR486157,0,2.7,2.7,5.5
VR485787,0,0,0,0
VR491803,2.5,0.6,3,6.5
VR486176,0.5,2.7,1.2,4.5
VR489368,2.5,2.7,3,8.5
Vr486002,0,0,0,0
VR421886,0,0,0,0
VR486223,2,3,2.7,8
VR487531,1.5,0.3,0.9,3
VR495361,0,0,0,0
VR471448,2,3,3,8
VR489385,0,0.3,0.6,1
VR489266,0,0,0,0
VR486817,2.5,3,0,5.5
VR475905,0,0,0,0
VR486033,1.75,1.5,2.1,5.5
VR486029,1.5,2.7,2.4,7
VR485934,1.25,0.9,0.9,3.5
VR487873,0,0,0,0
VR485898,2.25,2.7,3,8
VR485815,0.5,0,2.7,3.5
VR486365,0.5,3,1.8,5.5
VR486714,2,3,3,8
VR486893,2,3,2.7,8
VR487846,2.5,3,3,8.5
Vr485905,0,1.2,0.9,2.5
VR487951,2.25,2.7,3,8
VR488218,2.25,3,3,8.5
VR485893,0.75,1.2,1.2,3.5
VR486336,0.25,2.7,0,3
VR489770,0.25,3,0.9,4.5
VR493652,0,0,0,0
VR486990,0,0,0,0
VR471356,1,1.2,0.6,3
VR485767,0,0,0,0
VR487805,2.5,3,3,8.5
VR486320,0,0,0,0
VR481975,0,0,0,0
VR480811,0.25,1.8,0,2.5
VR486725,2,2.7,0,5
