Matricola,es1,es2,es3,es4,voto
VR485951,2,9,2,8,21
VR487644,2,1,0,7,10
VR485713,0,9,5,9,23
VR485956,0,1,4,8,13
VR421930,0,8,6,8,22
VR479404,0,1,2,8,11
VR486399,3,9,2,8,22
VR485844,0,1,3,8,12
VR485743,2,9,3,9,23
VR486135,3,9,5,9,26
VR487733,3,9,2,9,23
VR488066,2,9,0,9,20
VR487635,3,9,5,9,26
VR486679,3,9,5,9,26
VR490461,3,9,2,8,22
VR490811,3,1,6,8,18
VR492099,3,9,5,9,26
VR485854,3,9,3,9,24
VR471276,3,5,0,8,16
VR486070,3,7,2,6,18
VR485984,1,9,0,6,16
VR487716,1,9,5,8,23
VR429651,0,4,2,9,15
VR429652,0,4,6,8,18
VR487434,3,9,6,9,27
VR489215,1,4,6,9,20
VR485945,3,9,6,9,27
VR486432,3,9,2,8,22
VR486921,3,9,5,9,26
vr492127,3,5,4,8,20
VR487324,3,2,1,6,12
VR487810,2,3,1,8,14
VR487525,3,9,2,9,23
VR488633,3,9,2,6,20
VR485740,3,9,6,8,26
VR485994,1,7,1,7,16
Vr486655,3,0,1,0,4
VR486066,0,9,2,7,18
VR488147,3,9,0,9,21
VR486967,1,9,1,8,19
VR422579,0,4,2,8,14
VR486110,0,3,0,8,11
VR486372,3,4,2,7,16
VR486911,1,9,2,8,20
VR493766,2,9,0,9,20
VR486259,2,9,6,7,24
VR472547,3,9,2,9,23
VR486338,3,9,2,9,23
VR486157,2,9,4,8,23
VR485787,1,9,6,9,25	
VR486176,0,7,0,8,15
VR489368,0,9,2,8,19
VR421886,0,5,3,8,16
VR486223,2,9,3,8,22
VR487531,2,5,2,7,16
VR471448,3,9,3,8,23
VR489385,0,7,2,6,15
VR471640,2,4,0,8,14
VR486817,2,1,0,8,11
VR475905,0,2,7,5,14
VR486033,2,8,0,9,19
VR486029,3,9,3,8,23
VR485934,1,5,1,5,12
VR487873,0,5,0,0,5
VR485898,3,9,6,8,26
VR485815,1,1,0,8,10
VR486365,0,9,6,8,23
VR486714,0,9,0,9,18
VR486893,2,9,6,8,25
VR487846,0,9,2,9,20
Vr485905,2,7,3,8,20
VR487951,3,9,0,9,21
VR488218,3,9,2,8,22
VR486566,2,4,2,8,16
vr485893,1,9,2,6,18
VR489770,0,9,1,9,19
VR493652,0,0,2,9,11
VR471356,0,9,6,9,24
VR486725,0,9,0,9,18
VR456008,0,9,2,8,19
VR487805,0,9,6,8,23
