Matricola,Parz1,Parz2/totale,Average,Parz1_numeric,Parz2_numeric
VR472400,NA,7/30,7.0,NA,7.0
VR485951,21/30,24/30,22.5,21.0,24.0
VR487644,10/30,NA,10.0,10.0,NA
VR485713,23/30,18/30,20.5,23.0,18.0
VR421702,NA,23/30,23.0,NA,23.0
VR490736,NA,21/30,21.0,NA,21.0
VR485956,13/30,NA,13.0,13.0,NA
VR421930,22/30,NA,22.0,22.0,NA
VR479404,11/30,NA,11.0,11.0,NA
VR486399,22/30,30/30,26.0,22.0,30.0
VR485844,12/30,NA,12.0,12.0,NA
VR485743,23/30,28/30,25.5,23.0,28.0
VR486135,26/30,22/30,24.0,26.0,22.0
VR487733,23/30,22/30,22.5,23.0,22.0
VR488066,20/30,20/30,20.0,20.0,20.0
VR487635,26/30,14/30,20.0,26.0,14.0
VR486679,26/30,16/30,21.0,26.0,16.0
VR490461,22/30,14/30,18.0,22.0,14.0
VR487799,NA,5/30,5.0,NA,5.0
VR490811,18/30,24/30,21.0,18.0,24.0
VR492099,26/30,30/30,28.0,26.0,30.0
VR485854,24/30,24/30,24.0,24.0,24.0
VR471276,16/30,NA,16.0,16.0,NA
VR486070,18/30,NA,18.0,18.0,NA
VR485984,NA,7/30,7.0,NA,7.0
VR487716,23/30,4/30,13.5,23.0,4.0
VR429651,NA,18/30,18.0,NA,18.0
VR429652,18/30,14/30,16.0,18.0,14.0
VR487434,27/30,30/30,28.5,27.0,30.0
VR489215,20/30,NA,20.0,20.0,NA
VR485945,27/30,30/30,28.5,27.0,30.0
VR486432,22/30,12/30,17.0,22.0,12.0
VR486921,26/30,NA,26.0,26.0,NA
vr492127,20/30,8/30,14.0,20.0,8.0
VR487324,12/30,NA,12.0,12.0,NA
VR487810,14/30,NA,14.0,14.0,NA
VR487525,23/30,22/30,22.5,23.0,22.0
VR488633,20/30,22/30,21.0,20.0,22.0
VR485740,26/30,30/30,28.0,26.0,30.0
VR485994,16/30,28/30,22.0,16.0,28.0
Vr486655,4/30,NA,4.0,4.0,NA
VR486066,18/30,20/30,19.0,18.0,20.0
VR488147,21/30,18/30,19.5,21.0,18.0
VR485745,NA,18/30,18.0,NA,18.0
VR486967,19/30,4/30,11.5,19.0,4.0
VR422579,14/30,NA,14.0,14.0,NA
VR486110,NA,8/30,8.0,NA,8.0
VR486372,NA,27/30,27.0,NA,27.0
VR486911,20/30,22/30,21.0,20.0,22.0
VR493766,20/30,20/30,20.0,20.0,20.0
VR458243,NA,14/30,14.0,NA,14.0
VR486259,24/30,28/30,26.0,24.0,28.0
VR474954,NA,17/30,17.0,NA,17.0
VR472547,23/30,28/30,25.5,23.0,28.0
VR486338,23/30,22/30,22.5,23.0,22.0
VR486157,23/30,16/30,19.5,23.0,16.0
VR485787,25/30,22/30,23.5,25.0,22.0
VR486176,15/30,NA,15.0,15.0,NA
VR489368,19/30,NA,19.0,19.0,NA
VR421886,16/30,NA,16.0,16.0,NA
VR486223,22/30,NA,22.0,22.0,NA
VR487531,16/30,NA,16.0,16.0,NA
VR485848,NA,14/30,14.0,NA,14.0
VR471448,23/30,20/30,21.5,23.0,20.0
VR489385,NA,16/30,16.0,NA,16.0
VR486009,NA,1/30,1.0,NA,1.0
VR471640,14/30,NA,14.0,14.0,NA
VR486817,11/30,NA,11.0,11.0,NA
VR475905,NA,17/30,17.0,NA,17.0
VR486033,19/30,14/30,16.5,19.0,14.0
VR486029,23/30,18/30,20.5,23.0,18.0
VR485934,NA,14/30,14.0,NA,14.0
VR487873,5/30,NA,5.0,5.0,NA
VR485898,26/30,NA,26.0,26.0,NA
VR485815,10/30,NA,10.0,10.0,NA
VR486365,23/30,26/30,24.5,23.0,26.0
VR485722,NA,21/30,21.0,NA,21.0
VR486714,18/30,NA,18.0,18.0,NA
VR486893,25/30,28/30,26.5,25.0,28.0
VR487846,20/30,26/30,23.0,20.0,26.0
Vr485905,20/30,24/30,22.0,20.0,24.0
VR487951,21/30,18/30,19.5,21.0,18.0
VR488218,22/30,28/30,25.0,22.0,28.0
VR486566,NA,21/30,21.0,NA,21.0
vr485893,18/30,22/30,20.0,18.0,22.0
VR489770,19/30,18/30,18.5,19.0,18.0
VR493652,11/30,NA,11.0,11.0,NA
VR471356,24/30,18/30,21.0,24.0,18.0
VR486725,18/30,NA,18.0,18.0,NA
VR473622,NA,9/30,9.0,NA,9.0
VR487805,23/30,30/30,26.5,23.0,30.0
VR481975,NA,11/30,11.0,NA,11.0
