campagna,MedianWeight,MeanWeight,TemperatureC,DOmgL,pH,Year,Monthnumber,Week,Dayofmonth,Hour,SpConducibilitymicroScm,DOoutmgLTARGET,pHout,ConducibilitymicroScm,DOsat,DOlocal,SpConducibilitymicroScmOUT,Tagliag,Biomassakg,quantomangimekg,timestamped,y_test,predicted
265,2,52.0,52.0,8.672,11.47,7.58,2019,11,48,28,0,176.33684640522856,11.06,7.54,138.4962121212119,110.59339826839778,110.59339826839778,177.80805369127543,52.08,5065.0,0.0,2019.0_48.0_28.0_0.0,11.06,10.8791065
549,2,74.0,79.98958333333336,3.986,10.7,7.85,2019,12,50,13,11,176.33684640522856,10.61,7.78,138.4962121212119,110.59339826839778,110.59339826839778,177.80805369127543,61.86,4239.0,0.0,2019.0_50.0_13.0_11.0,10.61,11.229282
484,2,69.5,69.5,5.443,10.48,7.83,2019,12,50,10,2,176.33684640522856,10.55,7.81,138.4962121212119,110.59339826839778,110.59339826839778,177.80805369127543,93.36,7.105,0.0,2019.0_50.0_10.0_2.0,10.55,11.070528
368,2,61.0,58.5,7.537,11.44,7.56,2019,12,49,2,11,176.33684640522856,10.7,7.49,138.4962121212119,110.59339826839778,110.59339826839778,177.80805369127543,92.07,6.805,0.0,2019.0_49.0_2.0_11.0,10.7,10.837012
339,2,77.0,80.16666666666666,7.026,12.6,7.66,2019,12,48,1,8,176.33684640522856,11.63,7.55,138.4962121212119,110.59339826839778,110.59339826839778,177.80805369127543,53.77,5216.0,0.0,2019.0_48.0_1.0_8.0,11.630001,10.804796
217,2,60.5,64.56250000000001,8.955,11.02,7.53,2019,11,48,25,11,176.33684640522856,9.82,7.41,138.4962121212119,110.59339826839778,110.59339826839778,177.80805369127543,50.96,4975.0,0.0,2019.0_48.0_25.0_11.0,9.819999,10.817768
297,2,65.5,67.125,8.209,12.0,7.62,2019,11,48,29,5,176.33684640522856,11.01,7.54,138.4962121212119,110.59339826839778,110.59339826839778,177.80805369127543,52.64,5114.0,0.0,2019.0_48.0_29.0_5.0,11.010001,10.812641
147,2,62.5,65.2,8.877,11.49,7.6,2019,11,47,23,0,176.33684640522856,10.81,7.51,138.4962121212119,110.59339826839778,110.59339826839778,177.80805369127543,49.95,4887.0,0.0,2019.0_47.0_23.0_0.0,10.81,10.631811
122,2,68.0,70.89473684210526,8.518,11.51,7.52,2019,11,47,21,10,176.33684640522856,10.67,7.39,138.4962121212119,110.59339826839778,110.59339826839778,177.80805369127543,82.15,6.109,0.0,2019.0_47.0_21.0_10.0,10.67,10.707267
496,2,80.0,78.16000000000001,4.705,10.83,7.83,2019,12,50,10,9,176.33684640522856,10.75,7.81,138.4962121212119,110.59339826839778,110.59339826839778,177.80805369127543,93.36,7.105,50.0,2019.0_50.0_10.0_9.0,10.749999,10.803867
194,2,52.0,51.0,8.846,11.56,7.56,2019,11,48,25,0,176.33684640522856,10.97,7.48,138.4962121212119,110.59339826839778,110.59339826839778,177.80805369127543,85.4,6.331,0.0,2019.0_48.0_25.0_0.0,10.969999,10.809798
266,2,71.5,69.625,8.703,11.4,7.57,2019,11,48,28,1,176.33684640522856,11.03,7.54,138.4962121212119,110.59339826839778,110.59339826839778,177.80805369127543,87.62,6.486,0.0,2019.0_48.0_28.0_1.0,11.03,10.734259
416,2,85.0,85.0,5.367,11.72,7.87,2019,12,49,4,11,176.33684640522856,9.53,7.4,138.4962121212119,110.59339826839778,110.59339826839778,177.80805369127543,90.0,6.862,0.0,2019.0_49.0_4.0_11.0,9.53,10.7527
231,2,63.5,67.5,8.057,11.7,7.59,2019,11,48,26,6,176.33684640522856,11.27,7.54,138.4962121212119,110.59339826839778,110.59339826839778,177.80805369127543,51.52,5024.0,0.0,2019.0_48.0_26.0_6.0,11.27,10.775302
511,2,63.0,69.03703703703704,3.716,11.39,7.81,2019,12,50,11,8,176.33684640522856,10.91,7.77,138.4962121212119,110.59339826839778,110.59339826839778,177.80805369127543,60.69,4164.0,0.0,2019.0_50.0_11.0_8.0,10.91,10.721255
191,2,57.0,61.0,8.431,11.56,7.54,2019,11,47,24,10,176.33684640522856,9.98,7.4,138.4962121212119,110.59339826839778,110.59339826839778,177.80805369127543,50.45,4932.0,0.0,2019.0_47.0_24.0_10.0,9.98,10.716095
234,2,41.5,41.5,7.992,11.35,7.57,2019,11,48,26,8,176.33684640522856,10.67,7.5,138.4962121212119,110.59339826839778,110.59339826839778,177.80805369127543,86.51,6.41,0.0,2019.0_48.0_26.0_8.0,10.67,10.479353
593,2,83.0,84.25568181818187,5.247,9.9,7.79,2019,12,51,16,9,176.33684640522856,9.94,7.68,138.4962121212119,110.59339826839778,110.59339826839778,177.80805369127543,63.59,4352.0,35.0,2019.0_51.0_16.0_9.0,9.94,10.296756
435,2,83.0,83.0,4.622,10.11,7.7,2019,12,49,5,8,176.33684640522856,12.66,7.61,138.4962121212119,110.59339826839778,110.59339826839778,177.80805369127543,55.69,5393.0,0.0,2019.0_49.0_5.0_8.0,12.66,10.719225
610,2,76.0,80.56369426751588,6.211,10.41,7.78,2019,12,51,17,9,176.33684640522856,9.66,7.68,138.4962121212119,110.59339826839778,110.59339826839778,177.80805369127543,97.64,7.418,50.0,2019.0_51.0_17.0_9.0,9.66,10.76142
291,2,59.0,64.64285714285714,8.525,11.9,7.62,2019,11,48,29,2,176.33684640522856,11.03,7.55,138.4962121212119,110.59339826839778,110.59339826839778,177.80805369127543,52.64,5114.0,0.0,2019.0_48.0_29.0_2.0,11.03,10.752774
591,2,84.0,88.86764705882351,5.226,9.89,7.8,2019,12,51,16,8,176.33684640522856,10.03,7.72,138.4962121212119,110.59339826839778,110.59339826839778,177.80805369127543,63.59,4352.0,0.0,2019.0_51.0_16.0_8.0,10.03,10.956457
566,2,102.5,102.5,3.931,11.06,7.79,2019,12,50,15,4,176.33684640522856,10.71,7.77,138.4962121212119,110.59339826839778,110.59339826839778,177.80805369127543,96.22,7.314,0.0,2019.0_50.0_15.0_4.0,10.71,10.897901
30,2,65.0,86.25,7.56,10.56,7.55,2019,11,46,16,10,176.33684640522856,9.51,7.39,138.4962121212119,110.59339826839778,110.59339826839778,177.80805369127543,78.99,5.895,0.0,2019.0_46.0_16.0_10.0,9.51,10.542047
81,2,68.0,88.24,7.541,10.79,7.47,2019,11,47,19,11,176.33684640522856,9.39,7.35,138.4962121212119,110.59339826839778,110.59339826839778,177.80805369127543,47.5,4675.0,0.0,2019.0_47.0_19.0_11.0,9.39,10.539021
18,2,41.5,41.5,6.769,11.56,7.54,2019,11,46,16,0,176.33684640522856,11.03,7.47,138.4962121212119,110.59339826839778,110.59339826839778,177.80805369127543,78.99,5.895,0.0,2019.0_46.0_16.0_0.0,11.03,10.824324
361,2,55.0,56.84615384615385,7.461,12.24,7.56,2019,12,49,2,7,176.33684640522856,11.51,7.54,138.4962121212119,110.59339826839778,110.59339826839778,177.80805369127543,54.34,5269.0,0.0,2019.0_49.0_2.0_7.0,11.51,10.918904
363,2,67.0,68.21052631578948,7.447,11.86,7.57,2019,12,49,2,8,176.33684640522856,10.93,7.5,138.4962121212119,110.59339826839778,110.59339826839778,177.80805369127543,54.34,5269.0,0.0,2019.0_49.0_2.0_8.0,10.93,10.48979
36,2,68.0,68.0,8.192,10.93,7.58,2019,11,46,17,2,176.33684640522856,10.27,7.47,138.4962121212119,110.59339826839778,110.59339826839778,177.80805369127543,78.99,5.893,0.0,2019.0_46.0_17.0_2.0,10.27,10.739868
540,2,76.0,76.0,4.038,10.7,7.77,2019,12,50,13,6,176.33684640522856,10.65,7.78,138.4962121212119,110.59339826839778,110.59339826839778,177.80805369127543,95.51,7.263,0.0,2019.0_50.0_13.0_6.0,10.65,11.2505045
